cue_id,skill_id,phase,sound_event,sound_resource,playback_mode,attach_scope,cooldown_group,cooldown_seconds,max_plays_per_window,window_seconds,enabled,notes,max_concurrent,concurrency_seconds
#中文名:音效Cue ID,技能ID,阶段,原生音效事件,音效资源文件,播放模式,挂载范围,冷却组,冷却秒数,窗口最大播放次数,窗口秒数,是否启用,备注,最大并发数,并发占位秒数
#types:string,string,enum,string,string,enum,enum,string,number,number,number,boolean,string,number,number
hero_flame_main_impact,proto_flame_burst,impact,Ability.LightStrikeArray,soundevents/game_sounds_heroes/game_sounds_lina.vsndevts,oneshot,position,hero_flame_main,0.1,1,0.2,1,爆炎弹主爆炸；事件已从本机Lina原生Sound Event核实。
hero_flame_fireball_launch,proto_flame_burst,launch,Hero_Snapfire.MortimerBlob.Launch,soundevents/game_sounds_heroes/game_sounds_snapfire.vsndevts,oneshot,position,hero_flame_fireball_launch,0.2,1,0.5,1,三级小火球整批共享一次发射声。
hero_flame_fireball_impact,proto_flame_burst,impact,Hero_Snapfire.MortimerBlob.Impact,soundevents/game_sounds_heroes/game_sounds_snapfire.vsndevts,oneshot,position,hero_flame_fireball_impact,0.08,3,0.6,1,小火球落地声；三颗落地受窗口限流。,2,0.35
hero_frost_launch,proto_frost_nova,launch,hero_Crystal.CrystalNovaCast,soundevents/game_sounds_heroes/game_sounds_crystalmaiden.vsndevts,oneshot,position,hero_frost_launch,0.2,1,0.5,1,移动冰球生成。
hero_frost_explode,proto_frost_nova,impact,Hero_Crystal.CrystalNova,soundevents/game_sounds_heroes/game_sounds_crystalmaiden.vsndevts,oneshot,position,hero_frost_explode,0.15,1,0.5,1,移动冰球结束爆炸。
hero_fury_thunder_strike,proto_chain_lightning,impact,Hero_Zuus.LightningBolt,soundevents/game_sounds_heroes/game_sounds_zuus.vsndevts,oneshot,position,hero_fury_thunder,0.08,3,0.5,1,怒雷每次实际雷击；三级连续雷击受窗口限流。,2,0.3
hero_poison_cloud_cast,proto_poison_cloud,cast,Hero_Viper.Nethertoxin.Cast,soundevents/game_sounds_heroes/game_sounds_viper.vsndevts,oneshot,position,hero_poison_cloud,0.25,1,0.5,1,毒云建立；不在每个伤害Tick重复播放。
hero_blade_launch,proto_blade_nova,launch,Hero_Magnataur.ShockWave.Cast,soundevents/game_sounds_heroes/game_sounds_magnataur.vsndevts,oneshot,unit,hero_blade_launch,0.15,1,0.4,1,剑刃震荡整批脉冲共享起手声。
hero_blade_hit,proto_blade_nova,hit,Hero_Magnataur.ShockWave.Target,soundevents/game_sounds_heroes/game_sounds_magnataur.vsndevts,oneshot,unit,hero_blade_hit,0.08,4,0.5,1,震荡波首次命中各目标；受窗口限流。,2,0.25
hero_echo_slash_launch,proto_echo_slash,launch,Hero_Kez.EchoSlash.Katana.Start,soundevents/game_sounds_heroes/game_sounds_kez.vsndevts,oneshot,position,hero_echo_slash,0.08,4,0.6,1,每波纯刀光使用Kez原生回音斩起手声，不添加回音复击。
