sounds/swordsound.vsnd_c	28257
sounds/littlesuccess.vsnd_c	69522
sounds/littlefail.vsnd_c	49472
sounds/intro.vsnd_c	5474748
sounds/fragments_loop.vsnd_c	219384
sounds/fenghuangcry.vsnd_c	41439
sounds/fenghuangbgm.vsnd_c	4687972
sounds/ding2.vsnd_c	50160
sounds/ding.vsnd_c	37018
sounds/deadsound.vsnd_c	142869
sounds/bigsuccess.vsnd_c	200136
sounds/bigfail.vsnd_c	110536
sounds/altar_destruction.vsnd_c	1547792
soundevents/custom_sounds.vsndevts_c	751
scripts/vscripts/items/raid_1_34/11. 	526
scripts/vscripts/items/pet/11. 	8342
scripts/vscripts/util/playerutil.lua	8172
scripts/vscripts/util/huobi.lua	2065
scripts/vscripts/util/helperfunc.lua	18144
scripts/vscripts/util/filter.lua	8204
scripts/vscripts/util/constants.lua	2081
scripts/vscripts/util/boss.lua	37357
scripts/vscripts/triggers/teleport.lua	48765
scripts/vscripts/triggers/fire_trap_trigger.lua	2531
scripts/vscripts/triggers/basictrigger.lua	5509
scripts/vscripts/modifiers/huanjing_modifier/modifier_layer_enhance.lua	10895
scripts/vscripts/modifiers/huanjing_modifier/modifier_huanjing_options.lua	46284
scripts/vscripts/modifiers/huanjing_modifier/modifier_huanjing_helper.lua	1657
scripts/vscripts/modifiers/huanjing_modifier/modifier_2.lua	915
scripts/vscripts/modifiers/attributes/modifier_tallentbuff.lua	210
scripts/vscripts/modifiers/attributes/modifier_tallent.lua	2719
scripts/vscripts/modifiers/attributes/modifier_rai.lua	1182
scripts/vscripts/modifiers/attributes/modifier_pvp.lua	1951
scripts/vscripts/modifiers/attributes/modifier_persistentbuff.lua	2656
scripts/vscripts/modifiers/attributes/modifier_persistent.lua	1712
scripts/vscripts/modifiers/attributes/modifier_manacost_rdc.lua	822
scripts/vscripts/modifiers/attributes/modifier_luckbuff.lua	71
scripts/vscripts/modifiers/attributes/modifier_luck.lua	4639
scripts/vscripts/modifiers/attributes/modifier_fashu_baoshang.lua	540
scripts/vscripts/modifiers/attributes/modifier_fashang.lua	477
scripts/vscripts/modifiers/attributes/modifier_fachuan.lua	477
scripts/vscripts/modifiers/attributes/modifier_fabao.lua	463
scripts/vscripts/modifiers/attributes/modifier_chuanjia.lua	1531
scripts/vscripts/modifiers/attributes/modifier_channel_time_red.lua	832
scripts/vscripts/modifiers/purge.lua	107
scripts/vscripts/modifiers/modifier_venom.lua	917
scripts/vscripts/modifiers/modifier_truegold.lua	516
scripts/vscripts/modifiers/modifier_texiao.lua	108717
scripts/vscripts/modifiers/modifier_soul.lua	21463
scripts/vscripts/modifiers/modifier_random_scale.lua	434
scripts/vscripts/modifiers/modifier_outofgame.lua	1189
scripts/vscripts/modifiers/modifier_minimap.lua	359
