param_id,effect_id,param_name,value_type,number_value,string_value,boolean_value,enabled,notes
goblin_success_pct,goblin_duplicator_action,success_chance_pct,number,49,,,1,
lucky_watch_count,lucky_watch_cooldown,count,number,3,,,1,
nuclear_boss,nuclear_bomb_action,exclude_boss,boolean,,,1,1,
nuclear_batch_size,nuclear_bomb_action,batch_size,number,4,,,1,
nuclear_batch_interval,nuclear_bomb_action,batch_interval_seconds,number,0.05,,,1,
bounty_order_count,bounty_order_rewards,count,number,5,,,1,
bounty_order_multiplier,bounty_order_rewards,multiplier,number,2,,,1,
high_morale_pct,high_morale_attack,value,number,30,,,1,
in_step_pct,in_step_attack,value,number,10,,,1,
construction_order_count,construction_order_action,count,number,1,,,1,
internship_count,internship_capacity,value,number,2,,,1,
internship_training_id,internship_capacity,training_id,string,,train_repairer_01,,1,
internship_wood_override,internship_capacity,wood_cost_override,number,0,,,1,兼容配置契约；上限效果不读取此参数。
internship_gold_override,internship_capacity,gold_cost_override,number,0,,,1,兼容配置契约；上限效果不读取此参数。
bloodthirst_burst,bloodthirst_lifesteal,initial_value,number,100,,,1,
bloodthirst_duration,bloodthirst_lifesteal,burst.duration_seconds,number,60,,,1,
bloodthirst_permanent,bloodthirst_lifesteal,later_value,number,20,,,1,
outsourcing_per_building,infrastructure_outsourcing_gold,value_per_target,number,100,,,1,
iron_fist_pct,iron_fist_armor,value,number,40,,,1,
training_dummy_duration,training_dummy_growth,duration_seconds,number,30,,,1,
training_dummy_attack,training_dummy_growth,value,number,100,,,1,
training_dummy_distance,training_dummy_growth,distance,number,256,,,1,
wall_recovery_health,wall_recovery_effect,health_per_second,number,20,,,1,
wall_recovery_armor,wall_recovery_effect,armor_per_interval,number,1,,,1,
wall_recovery_interval,wall_recovery_effect,armor_interval_seconds,number,60,,,1,
wealthy_start_gold,wealthy_start_effect,gold_per_wave,number,30,,,1,
sharp_volley_speed,sharp_volley_effect,attack_speed_pct,number,20,,,1,
sharp_volley_attack,sharp_volley_effect,attack_per_hit,number,1,,,1,
lumberjack_assault_speed,lumberjack_assault_effect,attack_speed_pct,number,25,,,1,
fortified_defense_health,fortified_defense_effect,health_flat,number,5000,,,1,
fortified_defense_armor,fortified_defense_effect,armor_flat,number,5,,,1,
fortified_defense_reduction,fortified_defense_effect,damage_reduction_pct,number,10,,,1,
precision_lumber_value,precision_lumber_effect,wood_per_hit,number,1,,,1,
peaceful_labor_value,peaceful_labor_effect,wood_per_hit,number,2,,,1,
woodcutting_bounty_value,woodcutting_bounty_effect,wood_per_wave,number,5,,,1,
instant_wood_value,instant_wood_effect,wood_per_difficulty,number,100,,,1,
gold_mining_secret_value,gold_mining_secret_effect,income_bonus_pct,number,10,,,1,
population_expansion_value,population_expansion_effect,max_population,number,5,,,1,
natures_gift_value,natures_gift_effect,wood_per_second,number,3,,,1,
emergency_reinforcement_threshold,emergency_reinforcement_effect,health_threshold_pct,number,30,,,1,
emergency_reinforcement_reduction,emergency_reinforcement_effect,damage_reduction_pct,number,20,,,1,
wind_strategy_speed,wind_strategy_effect,attack_speed_pct,number,400,,,1,
wind_strategy_interval,wind_strategy_effect,attack_interval_flat,number,0.03,,,1,
allround_tempering_speed,allround_tempering_effect,attack_speed_pct,number,100,,,1,
allround_tempering_attributes,allround_tempering_effect,all_attributes_flat,number,3,,,1,
heavy_hand_chance,heavy_hand_effect,critical_chance_pct,number,5,,,1,
first_to_strike_value,first_to_strike_effect,wood_bonus_pct,number,100,,,1,
endless_rebirth_value,endless_rebirth_effect,damage_bonus_pct,number,50,,,1,
long_range_volley_range,long_range_volley_effect,attack_range_flat,number,500,,,1,
long_range_volley_attack,long_range_volley_effect,attack_flat,number,800,,,1,
